2024-11-06 00:00:11.730581,[43.34, 'f'],[43.07759257812022, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730872811.729317],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.3777738010021436, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730872810.8315792],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:01:12.852062,[43.34, 'f'],[43.07759257812022, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730872872.8501105],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.7133142448103036, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730872872.6973777],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:02:08.106282,[43.34, 'f'],[43.07759257812022, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730872928.1057577],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[6.397637795275583, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730872928.0532353],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:03:12.773830,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730872992.7733302],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[4.227809591982815, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730872991.8151116],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:04:13.904525,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873053.9036727],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[6.621331424481023, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873053.7974083],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:05:12.691559,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873112.6902697],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[4.9436292054402236, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873111.8231504],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:06:11.907659,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873171.9068053],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[5.726556907659264, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873171.8040726],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:07:11.723934,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873231.7226639],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[7.023979957050816, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873230.8835986],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:08:12.866690,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873292.865249],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[6.777916964924831, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873292.7209737],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:09:11.847522,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873351.846587],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.675196850393696, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873351.7305777],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:10:11.852094,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873411.8512502],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.965998568360768, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873411.7312493],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:11:12.920755,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873472.919972],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.004115962777376, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873472.8193784],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-06 00:12:11.813930,[43.16, 'f'],[42.89780295603949, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730873531.8075333],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.6014674302075838, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730873531.6741967],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
