2024-11-07 00:13:49.901512,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960029.9006472],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.482999284180384, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960029.7997162],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:14:49.878897,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960089.877974],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.415891195418752, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960089.76384],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:15:50.748867,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960150.7425241],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.729062276306368, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960148.8784604],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:16:49.902922,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960209.9020581],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.5501073729420156, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960209.8075435],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:17:50.869184,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960270.8674996],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.7066929133858237, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960270.7243326],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:18:50.759374,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960330.7580712],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.482999284180384, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960329.771345],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:19:50.675996,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960390.6751955],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.46062992125984, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960389.8158114],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:20:50.728183,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960450.7268791],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.46062992125984, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960449.8102157],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:21:50.760266,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960510.7537398],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.326413743736576, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960509.8173568],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:22:49.887078,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960569.885226],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.371152469577664, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960569.7651956],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:23:50.710573,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960630.708732],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.729062276306368, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960629.806471],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:24:49.826157,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960689.8256319],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.9751252684323517, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960688.8752134],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:25:49.797427,[35.78, 'f'],[35.526355853216685, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960749.7962809],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.01986399427344, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960749.675156],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:26:49.731530,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960809.730676],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.7738010021474557, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960808.8745267],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:27:50.678916,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960870.674658],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.9751252684323517, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960869.8008926],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:28:50.708175,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960930.706893],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.333035075161056, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960929.7622867],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:29:50.728599,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960990.7273345],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.1093414459556157, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960989.7442641],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:30:49.902417,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961049.9015644],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.6843235504652796, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961049.7983637],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
