2024-11-02 00:13:48.963913,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524428.9626334],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.889763779527551, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524428.7903993],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:14:47.922400,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524487.921605],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.867394416607007, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524487.8274956],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:15:48.855450,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524548.8491144],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.2029348604151675, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524548.706216],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:16:48.839350,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524608.838055],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.896385110952031, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524608.6924605],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:17:48.974831,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524668.9735756],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.627952755905504, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524668.795287],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:18:48.946284,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524728.9400778],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.4042591267000635, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524728.7966874],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:19:48.757100,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524788.755748],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.247673586256256, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524787.8583848],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:20:48.928182,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524848.9267993],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.762168933428768, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524848.804959],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:21:47.929164,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524907.928295],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.448997852541152, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524907.8386235],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:22:48.981949,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524968.97566],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.710808876163199, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524968.8233495],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:23:48.829768,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525028.823363],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.052970651395839, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525028.689274],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:24:46.781617,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525086.7804646],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.381889763779519, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525085.8182805],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:25:47.910909,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525147.9100566],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.643700787401568, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525147.807042],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:26:47.926131,[38.84, 'f'],[33.19931006146844, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525207.9252903],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.554223335719392, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525207.823287],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:27:45.929225,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525265.9283583],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.912133142448095, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525265.8122284],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:28:47.814999,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525327.8137124],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.912133142448095, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525326.8753364],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:29:48.928952,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525388.9279976],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.247673586256256, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525388.8097005],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:30:47.860161,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525447.8590403],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.2700429491767995, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525447.7175484],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
