2024-10-29 00:00:32.056675,[60.980000000000004, 'f'],[54.76708502232149, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178032.0549486],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[11.162312097351455, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178031.9339917],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:01:38.788586,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178098.7872822],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[11.453113815318527, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178097.8803792],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:02:42.771547,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178162.7702584],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.999105225483166, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178161.862033],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:03:43.993401,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178223.9920683],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.893879742304927, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178223.828965],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:04:25.746065,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178265.7455616],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.245168217609152, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178265.6839607],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:05:25.700730,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178325.7002287],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[12.101825340014303, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178324.8787231],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:06:24.079877,[61.16, 'f'],[54.942321029502, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178384.0790818],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.567465998568352, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178383.9792607],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:07:26.779157,[60.980000000000004, 'f'],[55.108607634300085, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178446.7778692],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.880637079455967, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178445.7459352],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:08:29.675178,[60.980000000000004, 'f'],[55.108607634300085, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178509.6743872],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.79778095919827, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178508.7920382],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:09:23.879069,[60.980000000000004, 'f'],[55.108607634300085, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178563.8781455],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.580708661417312, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178563.7569702],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-29 00:10:25.769220,[60.980000000000004, 'f'],[55.108607634300085, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730178625.7684655],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.021474588403713, 'mph', 3.0, '3', 'Gentle Breeze'],[25.307141289670845, ' inHg', 856.994771086818],[0.0, 'count', 0.0, 1730178625.6940236],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
