2024-11-04 00:13:57.085021,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730700837.0788212],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[9.260916249105215, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730700836.9351196],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:14:57.890205,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730700897.889354],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.999105225483166, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730700897.7687864],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:15:56.799591,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730700956.7983215],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.328024337866847, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730700955.8158448],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:16:58.751462,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701018.750313],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.289906943450239, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701017.8741598],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:17:57.030365,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701077.0242543],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[11.609699355762336, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701076.8904836],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:18:56.983992,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701136.9778686],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.40175375805296, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701136.8538601],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:19:56.895199,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701196.8888228],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[11.564960629921247, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701196.7474954],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:20:57.770029,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701257.7692444],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[11.833392984967775, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701256.896252],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:21:56.827617,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701316.8264894],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[11.945239799570494, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701316.6726592],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:22:57.111129,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701377.109628],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.334645669291328, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701376.9681034],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
