2024-11-10 16:24:23.915782,[48.019999999999996, 'f'],[46.37562716212432, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277463.9149354],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.093593414459551, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277463.815338],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:25:23.924914,[48.019999999999996, 'f'],[46.37562716212432, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277523.9241219],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.3554044380815995, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277523.8199596],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:26:23.929775,[47.84, 'f'],[46.19692990689688, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277583.9289086],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.1540801717967035, 'mph', 1.0, '1', 'Light Air'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277583.8243582],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:27:23.946319,[47.84, 'f'],[46.19692990689688, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277643.9455836],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.2211882605583355, 'mph', 1.0, '1', 'Light Air'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277643.8603942],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:28:23.914441,[47.84, 'f'],[46.19692990689688, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277703.9135993],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.5343593414459518, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277703.8125427],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:29:23.817554,[47.84, 'f'],[46.19692990689688, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277763.816607],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.6462061560486716, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731277763.6903408],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:30:23.922060,[47.84, 'f'],[46.19692990689688, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277823.9212668],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[2.930386542591264, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731277823.8155026],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:31:23.824458,[47.66, 'f'],[46.01823213729111, 'f'],[94.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277883.8182461],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.8698997852541117, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731277883.6806848],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:32:23.881129,[47.66, 'f'],[46.298168145534554, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731277943.879296],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.205440229062272, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731277943.7388186],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:33:23.845632,[47.66, 'f'],[46.298168145534554, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278003.844325],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.4672512526843198, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278003.6908665],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
