2024-10-28 00:13:49.031481,[47.3, 'f'],[30.556584636392476, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092429.0303524],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.784538296349312, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092428.9108546],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:14:50.973325,[47.3, 'f'],[30.556584636392476, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092490.9668653],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[9.730672870436639, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092490.8264945],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:15:49.813019,[47.120000000000005, 'f'],[30.85947756524629, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092549.811785],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.0016105941302715, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092549.6887457],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:16:50.797644,[47.120000000000005, 'f'],[30.85947756524629, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092610.791154],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[9.84251968503936, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092609.8032868],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:17:49.863705,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092669.8628612],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.967609162491039, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092669.7632773],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:18:49.765774,[47.120000000000005, 'f'],[29.911736807683592, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092729.759475],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[14.607193987115231, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092728.870499],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:19:49.829923,[47.120000000000005, 'f'],[29.911736807683592, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092789.827677],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.303149606299199, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092789.6887677],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:20:50.718203,[47.120000000000005, 'f'],[29.911736807683592, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092850.71694],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.884753042233342, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092849.7899864],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:21:50.714084,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092910.707364],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.609699355762336, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092909.805676],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:22:50.753241,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092970.746692],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.274158911954174, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092969.818121],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:23:49.826630,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093029.8250368],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.03471725125267, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093029.6847086],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
