2024-10-30 00:14:00.905538,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265240.8991902],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[23.398353614889025, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265240.7699947],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:15:01.980547,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265301.974265],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.81925554760198, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265301.8324559],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:16:00.879005,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265360.878232],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.586435218324958, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265360.7845843],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:17:00.936768,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265420.9358528],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.892984967788095, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265420.8166418],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:18:00.687331,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265480.6867576],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.892984967788095, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265479.7348685],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:18:59.853699,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265539.8528624],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.244273443092318, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265539.7449427],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:19:59.857087,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265599.8508825],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[16.24015748031494, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730265599.7050533],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:20:59.809521,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265659.8091218],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[19.148174659985663, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265659.7483013],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:21:59.973400,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265719.9669585],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.7272727272727, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265719.823263],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:23:00.010557,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265780.0041735],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.839119541875423, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265779.8291087],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:23:58.913205,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265838.9123068],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.810128847530397, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265838.8081295],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:24:59.924924,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265899.9185698],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.879742304939132, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730265899.778234],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:25:59.058793,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265959.0578675],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[16.933607730851808, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730265958.9412675],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:26:59.076250,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266019.0753398],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.24677881173942, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266018.9518907],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:27:59.059965,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266079.05905],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.320508231925533, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266078.952635],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:28:58.771983,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266138.77071],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.483715103793823, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266137.882167],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:30:01.708517,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266201.707498],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.700787401574782, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266200.6937127],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:30:58.983430,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266258.9827492],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.854867573371486, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266258.9120734],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:31:59.055301,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266319.054006],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.02720114531136, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266318.9350457],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:32:58.988121,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266378.9877336],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.720651395848225, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266378.914352],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:33:58.944271,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266438.9434843],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.854867573371486, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266438.8363853],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
