2024-10-27 00:14:15.796506,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006055.7958663],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.337151037938431, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006054.8050494],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:15:15.865312,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006115.864353],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.643700787401568, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006115.7535079],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:16:13.887564,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006173.8866394],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.739799570508223, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006173.7722473],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:17:13.069586,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006233.0686383],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.359520400858975, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006232.951201],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:18:13.070838,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006293.0699134],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.225304223335711, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006292.957084],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:19:13.062520,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006353.0606406],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.71743020758768, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006352.9440758],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:20:15.672722,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006415.6721451],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.314781675017888, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006414.7083404],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:21:13.867828,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006473.8669],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[8.656943450250527, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006473.7413387],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:22:13.060778,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006533.059856],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.218682891911231, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006532.9494708],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:23:13.948277,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006593.9420807],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[5.167322834645664, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006593.786342],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:24:15.922721,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006655.9218729],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.576592698639935, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006655.8178945],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:25:13.802275,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006713.8017025],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.173944166070143, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006713.7347],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:26:14.774799,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006774.7735004],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.487115246957759, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006773.8725874],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:27:14.696476,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006834.6960773],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.180565497494623, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006833.8363688],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:28:13.053040,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006893.051591],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.710808876163199, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006892.9284854],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
